Fleet	Registration	Operating Division	Livery/Brand	Tacho Type	WI-FI	Router supplier	Model	Make	Body	Chassis Type	Chassis No	Engine No	Euro Cat	CCTV	Destination Type	Front Size	Side Size	Rear Size	Body No	Seated	Standing	Registered	O Licence No
757	YX64 VRT	Reading	Branded 33		Y	Icomera	M340	Dennis	Enviro 400 MMC	Alexander Dennis	SFDA11BR1EGX18007	22129292	Euro 6	Synectics T1600	Hanover LED	144 x 19	96 x 8	128 x 17		80	11	10/10/2014	103568
758	YX64 VRU	Reading	Generic	Digital	Y	Icomera	M340	Dennis	Enviro 400 MMC	Alexander Dennis	SFDA11BR1EGX17984	22129187	Euro 6	Synectics T1600	Hanover LED	144 X 19	96 X 8	128 X 17		80	11	15/10/2014	103567
759	YY15 OYA	Reading	Generic	Digital	Y	Icomera	M340	Dennis	Enviro 400 MMC	Alexander Dennis	SFDA11BR2FGX18279	22155230	Euro 6	Synectics T1600	Hanover LED	144 X 19	96 X 8	128 X 17	E427/16	80	16	01/05/2015	103581
760	YY15 OYB	Reading	Emerald 5/6		Y	Icomera	M340	Dennis	Enviro 400 MMC	Alexander Dennis	SFDA11BR2FGX18280	22154103	Euro 6	Synectics T1600	Hanover LED	144 X 19	96 x 8	128 X 17	E427/01	80	16	01/05/2015	103584
761	YY15 OYC	Reading	Emerald 5/6		Y	Icomera	M340	Dennis	Enviro 400 MMC	Alexander Dennis	SFDA11BR2FGX18291	22154123	Euro 6	Synectics T1600	Hanover LED	144 X 19	96 x 8	128 X 17	E427/02	80	16	29/04/2015	103583
762	YY15 OYD	Reading	Emerald 5/6		Y	Icomera	M340	Dennis	Enviro 400 MMC	Alexander Dennis	SFDA11BR2FGX18292	22156548	Euro 6	Synectics T1600	Hanover LED	144 X 19	96 x 8	128 X 17	E427/03	80	16	01/05/2015	103586
763	YY15 OYE	Reading	Emerald 5/6		Y	Icomera	M340	Dennis	Enviro 400 MMC	Alexander Dennis	SFDA11BR2FGX18300	22156578	Euro 6	Synectics T1600	Hanover LED	144 X 19	96 x 8	128 X 17	E427/04	80	16	01/05/2015	103585
764	YY15 OYF	Reading	Emerald 5/6		Y	Icomera	M340	Dennis	Enviro 400 MMC	Alexander Dennis	SFDA11BR2FGX18301	22156475	Euro 6	Synectics T1600	Hanover LED	144 X 19	96 x 8	128 X 17	E427/05	80	16	01/05/2015	103576
765	YY15 OYG	Reading	Emerald 5/6		Y	Icomera	M340	Dennis	Enviro 400 MMC	Alexander Dennis	SFDA11BR2FGX18302	22156561	Euro 6	Synectics T1600	Hanover LED	144 X 19	96 x 8	128 X 17	E427/06	80	16	01/05/2015	103575
766	YY15 OYH	Reading	Emerald 5/6		Y	Icomera	M340	Dennis	Enviro 400 MMC	Alexander Dennis	SFDA11BR2FGX18315	22157039	Euro 6	Synectics T1600	Hanover LED	144 X 19	96 x 8	128 X 17	E427/07	80	16	01/05/2015	103578
767	YY15 OYJ	Reading	Emerald 5/6		Y	Icomera	M340	Dennis	Enviro 400 MMC	Alexander Dennis	SFDA11BR2FGX18303	22156544	Euro 6	Synectics T1600	Hanover LED	144 X 19	96 x 8	128 X 17	E427/08	80	16	01/05/2015	103577
768	YY15 OYK	Reading	Emerald 5/6		Y	Icomera	M340	Dennis	Enviro 400 MMC	Alexander Dennis	SFDA11BR2FGX18316	22156585	Euro 6	Synectics T1600	Hanover LED	144 X 19	96 x 8	128 X 17	E427/09	80	16	01/05/2015	103580
769	YY15 OYL	Reading	Emerald 5/6		Y	Icomera	M340	Dennis	Enviro 400 MMC	Alexander Dennis	SFDA11BR2FGX18322	22156552	Euro 6	Synectics T1600	Hanover LED	144 X 19	96 x 8	128 X 17	E427/10	80	16	01/05/2015	103579
770	YY15 OYM	Reading	Emerald 5/6		Y	Icomera	M340	Dennis	Enviro 400 MMC	Alexander Dennis	SFDA11BR2FGX18323	22154106	Euro 6	Synectics T1600	Hanover LED	144 X 19	96 x 8	128 X 17	E427/11	80	16	01/05/2015	103588
771	YY15 OYN	Reading	Emerald 5/6		Y	Icomera	M340	Dennis	Enviro 400 MMC	Alexander Dennis	SFDA11BR2FGX18324	22154130	Euro 6	Synectics T1600	Hanover LED	144 X 19	96 x 8	128 X 17	E427/12	80	16	01/05/2015	103587
772	YY15 OYO	Reading	Emerald 5/6		Y	Icomera	M340	Dennis	Enviro 400 MMC	Alexander Dennis	SFDA11BR2FGX18325	22157072	Euro 6	Synectics T1600	Hanover LED	144 X 19	96 x 8	128 X 17	E427/13	80	16	01/05/2015	103590
773	YY15 OYP	Reading	Emerald 5/6		Y	Icomera	M340	Dennis	Enviro 400 MMC	Alexander Dennis	SFDA11BR2FGX18348	22157738	Euro 6	Synectics T1600	Hanover LED	144 X 19	96 x 8	128 X 17	E427/14	80	16	01/05/2015	103589
774	YY15 OYR	Reading	Emerald 5/6		Y	Icomera	M340	Dennis	Enviro 400 MMC	Alexander Dennis	SFDA11BR2FGX18349	22158721	Euro 6	Synectics T1600	Hanover LED	144 X 19	96 x 8	128 X 17	E427/15	80	16	01/05/2015	103592
781	SN66 WRC	Newbury	Vodafone					Dennis	Enviro 400 MMC	Alexander Dennis	SFDA11BR3GGX19559	22228710	Euro 6	Synectics T1600	Hanover					82	10	22/12/2016	103512
782	SN66 WRD	Newbury	Vodafone					Dennis	Enviro 400 MMC	Alexander Dennis	SFDA11BR3GGX19560	22231980	Euro 6	Synectics T1600	Hanover					82	10	23/12/2016	103408
801	YN54 AEP	Reading	Generic (vodaphone wrap)	Analogue	Y			Scania	Omnidekka (East Lancs)	N94UD	1848219	6030046	Euro 3	Synectics T800	Mobi-Tec LED	140 x 19	84 x 7	140 x 16	C49201	90	3	13/09/2004	103466
802	YN54 AET	Reading	Spritzer	Analogue	Y	Icomera	M340	Scania	Omnidekka (East Lancs)	N94UD	1848338	6030277	Euro 3	Synectics T800	Mobi-Tec LED	140 x 19	84 x 7	140 x 16	C49202	76	14	01/10/2004	103465
803	YN54 AEU	Reading	Generic	Analogue				Scania	Omnidekka (East Lancs)	N94UD	1848014	6029627	Euro 3	Synectics T800	Mobi-Tec LED	140 x 19	84 x 7	140 x 16	C49203	90	3	06/10/2004	103468
805	YN54 AEW	Reading	Generic					Scania	Omnidekka (East Lancs)	N94UD	1848216	6030016	Euro 3	Synectics T1000	Mobi-Tec LED	140 x 19	84 x 7	140 x 16	C49205	90	3	07/10/2004	103467
806	YN54 AEX	Reading	Generic					Scania	Omnidekka (East Lancs)	N94UD	1847960	6029425	Euro 3	Synectics T1000	Mobi-Tec LED	140 x 19	84 x 7	140 x 16	C49206	90	3	11/10/2004	103470
807	YN54 AEY	Reading	Spritzer			Icomera	M340	Scania	Omnidekka (East Lancs)	N94UD	1848217	6030027	Euro 3	Synectics T1000	Mobi-Tec LED	140 x 19	84 x 7	140 x 16	C49207	76	14	19/10/2004	103469
808	YN54 AEZ	Reading	Spritzer			Icomera	M340	Scania	Omnidekka (East Lancs)	N94UD	1848220	6030059	Euro 3	Synectics T1000	Mobi-Tec LED	140 x 19	84 x 7	140 x 16	C49208	76	14	19/10/2004	103472
809	YN54 AFA	Reading	Spritzer			Icomera	M340	Scania	Omnidekka (East Lancs)	N94UD	1848281	6030180	Euro 3	Synectics T1000	Mobi-Tec LED	140 x 19	84 x 7	140 x 16	C49209	76	14	20/10/2004	103471
810	YN54 AFE	Reading	Generic					Scania	Omnidekka (East Lancs)	N94UD	1848282	6030195	Euro 3	Synectics T1000	Mobi-Tec LED	140 x 19	84 x 7	140 x 16	C49210	90	3	20/10/2004	103474
840	YN07 LFG	Reading	Sky Blue 15/16					Scania	Olympus	N230UD	SZAN4X20001857534	6324407	Euro 4	Synectics T800	Hanover Colour	160 x 19	96 x 8	128 x 17	C65706	79	13	01/07/2007	103484
841	YN57 FXA	Reading	Sky Blue 15/16					Scania	Olympus	N230UD	1858411	6338794	Euro 4	Synectics T1000	Hanover Colour	160 x 19	96 x 8	128 x 17	C66401	79	10	13/02/2008	103483
842	YN57 FXB	Reading	Sky Blue 15/16					Scania	Olympus	N230UD	1585412	6338859	Euro 4	Synectics T1000	Hanover Colour	160 x 19	96 x 8	128 x 17	C66402	79	10	13/02/2008	103486
843	YN57 FXC	Reading	Sky Blue 15/16					Scania	Olympus	N230UD	1858413	6338954	Euro 4	Synectics T1000	Hanover Colour	160 x 19	96 x 8	128 x 17	C66403	79	10	13/02/2008	103485
844	YN57 FXD	Reading	Sky Blue 15/16					Scania	Olympus	N230UD	1858414	6339032	Euro 4	Synectics T1000	Hanover Colour	160 x 19	96 x 8	128 x 17	C66404	79	10	13/02/2008	103488
845	YN57 FXE	Reading	Sky Blue 15/16					Scania	Olympus	N230UD	1858482	6340304	Euro 4	Synectics T1000	Hanover Colour	160 x 19	96 x 8	128 x 17	C66405	79	10	19/02/2008	103487
846	YN57 FXF	Reading	Sky Blue 15/16					Scania	Olympus	N230UD	1858483	6340383	Euro 4	Synectics T1000	Hanover Colour	160 x 19	96 x 8	128 x 17	C66406	79	10	19/02/2008	103490
847	YN57 FXH	Reading	Sky Blue 15/16					Scania	Olympus	N230UD	1858484	6340479	Euro 4	Synectics T1000	Hanover Colour	160 x 19	96 x 8	128 x 17	C66407	79	10	22/02/2008	103489
861	YN08 HYY	Reading	Sky Blue 15/16					Scania	Olympus	N230UD	1858695	6344048	Euro 4	Synectics T1000	Hanover Colour	160 x 19	96 x 8	128 x 17	C66421	79	10	28/03/2008	103503
901	SK66 HRR	Reading	Woodley		Y	Nimbus		Wrightbus	Streetdeck	Integral	SA9DDRSXX16141243	933952C0065303	Euro 6	Synectics T1600	Hanover				AM974	70	36	01/09/2016	103401
902	SK66 HRU	Reading	Woodley		Y	Nimbus		Wrightbus	Streetdeck	Integral	SA9DDRSXX16141244	933952C0064603	Euro 6	Synectics T1600	Hanover				AM975	70	36	05/09/2016	103509
903	SK66 HRW	Reading	Woodley		Y	Nimbus		Wrightbus	Streetdeck	Integral	SA9DDRSXX16141245	933952C0068728	Euro 6	Synectics T1600	Hanover				AM976	70	36	05/09/2016	103477
904	SK66 HRX	Reading	Woodley		Y	Nimbus		Wrightbus	Streetdeck	Integral	SA9DDRSXX16141246	933952C0068718	Euro 6	Synectics T1600	Hanover				AN165	70	36	13/09/2016	103479
905	SK66 HRZ	Reading	Woodley		Y	Nimbus		Wrightbus	Streetdeck	Integral	SA9DDRSXX16141247	933952C0068723	Euro 6	Synectics T1600	Hanover				AN166	70	36	13/09/2016	103507
906	SK66 HSA	Reading	Woodley		Y	Nimbus		Wrightbus	Streetdeck	Integral	SA9DDRSXX16141248	933952C0068714	Euro 6	Synectics T1600	Hanover				AN167	70	36	13/09/2016	103480
1101	YN08 MKM	Reading	Generic App Wrap		Y	Cradlepoint	IBR1100	Scania	Omnicity	CN270UD	SZAN4X20001860261	6367452	Euro 4	Syenectics T800	Hanover Full Colour	144	96 x 8	128 x 17	1860261	77	5	22/04/2008	103518
1102	YN08 MKO	Reading	Branded Caversham		Y	Cradlepoint	IBR1100	Scania	Omnicity	CN270UD	SNAZ4X20001860263	6367501	Euro 4	Syenectics T800	Hanover Full Colour	144	96 x 8	128 x 17	1860263	77	5	16/05/2008	103517
1103	YN08 MKP	Reading	Branded Caversham		Y	Cradlepoint	IBR1100	Scania	Omnicity	CN270UD	SZAN4X20001860265	6367683	Euro 4	Syenectics T800	Hanover Full Colour	144	96 x 8	128 x 17	1860265	77	5	16/05/2008	103520
1104	YN08 MKU	Reading	Branded Caversham		Y	Cradlepoint	IBR1100	Scania	Omnicity	CN270UD	SZAN4X20001860266	6387724	Euro 4	Syenectics T800	Hanover Full Colour	144	96 x 8	128 x 17	1860266	77	5	21/05/2008	103519
1105	YN08 MKV	Reading	Branded Caversham		Y	Cradlepoint	IBR1100	Scania	Omnicity	CN270UD	SZAN4X20001860267	6387859	Euro 4	Syenectics T800	Hanover Full Colour	144	96 x 8	128 x 17	1860267	77	5	21/05/2008	103522
1106	YN08 MKX	Reading	Branded Caversham		Y	Cradlepoint	IBR1100	Scania	Omnicity	CN270UD	SZAN4X20001860268	6367917	Euro 4	Syenectics T800	Hanover Full Colour	144	96 x 8	128 x 17	1860268	77	5	22/05/2008	103521
1107	YN08 MKZ	Reading	Reading College Wrap		Y			Scania	Omnicity	CN270UD	SZAN4X20001860339	6371678	Euro 4	Syenectics T800	Hanover Full Colour	144	96 x 8	128 x 17	1860339	77	5	22/05/2008	103524
1108	YN08 MMA	Reading	Generic		Y			Scania	Omnicity	CN270UD	SNAZ4X20001860340	6371683	Euro 4	Synectics T800	Hanover Full Colour	144	96 x 8	128 x 17	1860340	77	5	27/05/2008	103523
1109	YN08 MME	Reading	Generic		Y			Scania	Omnicity	CN270UD	SZAN4X20001860402	6371690	Euro 4	Synectics T800	Hanover Full Colour	144	96 x 8	128 x 17	1860402	77	5	06/06/2008	103526
1110	YN08 MMF	Reading	Generic		Y	Icomera	M220	Scania	Omnicity	CN270UD	SZAN4X20001860403	6371742	Euro 4	Synectics T800	Hanover Full Colour	144	96 x 8	128 x 17	1860403	77	5	06/06/2008	103525
1111	YN08 MMJ	Reading	Generic		Y	Icomera	M220	Scania	Omnicity	CN270UD	SZAN4X20001860406	6371748	Euro 4	Synectics T800	Hanover Full Colour	144	96 x 8	128 x 17	1860406	77	5	12/06/2008	103528
1112	YN08 MMK	Reading	Generic		Y	Icomera	M220	Scania	Omnicity	CN270UD	SZAN4X20001860407	6371753	Euro 4	Synectics T800	Hanover Full Colour	144	96 x 8	128 x 17	1860407	77	5	12/06/2008	103527
1113	YN08 MMO	Reading	Generic		Y	Icomera	M220	Scania	Omnicity	CN270UD	SZAN4X20001860410	6375275	Euro 4	Synectics T800	Hanover Full Colour	144	96 x 8	128 x 17	1860410	77	5	12/06/2008	103530
1114	YN08 MMU	Reading	Generic/Red Balloon wrap	Digital	Y	Icomera	M220	Scania	Omnicity	CN270UD	SZAN4X20001860411	6375277	Euro 4	Synectics T800	Hanover Full Colour	144	96 x 8	128 x 17	1860411	77	5	26/06/2008	103529
1201	SN11 BWA	Reading	Jet Black	Digital	Y	Icomera	M200	Dennis	Enviro 400	Alexander Dennis	SFD4DSBRGAGXD5808	697427Z	Euro 5	Synectics T1000	Hanover Colour	144 x 19	96 x 8	128 x 17	423/1	80	13	01/04/2011	103548
1202	SN11 BWB	Reading	Jet Black	Digital	Y	Icomera	M200	Dennis	Enviro 400	Alexander Dennis	SFD4DSBRGAGXD5809	697428Z	Euro 5	Synectics T1000	Hanover Colour	144 x 19	96 x 8	128 x 17	423/2	80	13	01/04/2011	103550
1203	SN11 BWC	Reading	Jet Black	Digital	Y	Icomera	M200	Dennis	Enviro 400	Alexander Dennis	SFD4DSBRGAGXD5810	697429Z	Euro 5	Synectics T1000	Hanover Colour	144 x 19	96 x 8	128 x 17	423/3	80	13	01/04/2011	103549
1204	SN11 BWD	Reading	Jet Black	Digital	Y	Icomera	M200	Dennis	Enviro 400	Alexander Dennis	SFD4DSBRGAGXD5846	697430Z	Euro 5	Synectics T1000	Hanover Colour	144 x 19	96 x 8	128 x 17	423/4	80	13	01/04/2011	103618
1205	SN11 BWE	Reading	Jet Black	Digital	Y	Icomera	M200	Dennis	Enviro 400	Alexander Dennis	SFD4DSBRGAGXD5848	697763Z	Euro 5	Synectics T1000	Hanover Colour	144 x 19	96 x 8	128 x 17	423/5	80	13	01/04/2011	103617
1206	SN11 BWF	Reading	Jet Black	Digital	Y	Icomera	M200	Dennis	Enviro 400	Alexander Dennis	SFD4DSBRGAGXD5847	697764Z	Euro 5	Synectics T1000	Hanover Colour	144 x 19	96 x 8	128 x 17	423/6	80	13	01/04/2011	103620
1207	SN11 BMO	Reading	Jet Black	Digital	Y	Icomera	M200	Dennis	Enviro 400	Alexander Dennis	SFD4DSBRGAGXD5859	697914Z	Euro 5	Synectics T1000	Hanover Colour	144 x 19	96 x 8	128 x 17	423/7	80	13	01/04/2011	103619
1208	SN11 BRX	Reading	Generic Retro Reading	Digital	Y			Dennis	Enviro 400	Alexander Dennis	SFD4DSBRGAGXD5860	697915Z	Euro 5	Synectics T1000	Hanover Colour	144 x 19	96 x 8	128 x 17	423/8	80	13	01/04/2011	103622
1209	SN11 BTF	Reading	Generic	Digital				Dennis	Enviro 400	Alexander Dennis	SFD4DSBRGAGXD5861	698064Z	Euro 5	Synectics T1000	Hanover Colour	144 x 19	96 x 8	128 x 17	423/9	80	13	01/04/2011	103621
